Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAAAgen0_uff_E=760.66,-6.0,0.0,0.0
6lu7_idAAAAgen0_uff_E=760.66,-5.8,8.424,3.231
6lu7_idAAAAgen0_uff_E=760.66,-5.6,6.089,2.148
6lu7_idAAAAgen0_uff_E=760.66,-5.5,7.891,2.36
6lu7_idAAAAgen0_uff_E=760.66,-5.5,6.273,1.966
6lu7_idAAAAgen0_uff_E=760.66,-5.3,7.963,3.103
6lu7_idAAAAgen0_uff_E=760.66,-5.2,7.27,2.941
6lu7_idAAAAgen0_uff_E=760.66,-4.9,8.576,3.651
6lu7_idAAAAgen0_uff_E=760.66,-4.9,7.148,3.173
6lu7_idAAABgen0_uff_E=276.07,-5.5,0.0,0.0
6lu7_idAAABgen0_uff_E=276.07,-5.3,3.737,1.065
6lu7_idAAABgen0_uff_E=276.07,-5.0,6.345,2.203
6lu7_idAAABgen0_uff_E=276.07,-4.8,7.994,2.135
6lu7_idAAABgen0_uff_E=276.07,-4.7,6.129,1.968
6lu7_idAAABgen0_uff_E=276.07,-4.7,6.487,1.56
6lu7_idAAABgen0_uff_E=276.07,-4.6,6.874,2.267
6lu7_idAAABgen0_uff_E=276.07,-4.6,7.546,2.703
6lu7_idAAABgen0_uff_E=276.07,-4.5,5.278,1.883
6lu7_idAAACgen0_uff_E=585.04,-6.8,0.0,0.0
6lu7_idAAACgen0_uff_E=585.04,-6.8,3.518,1.958
6lu7_idAAACgen0_uff_E=585.04,-6.7,3.634,1.995
6lu7_idAAACgen0_uff_E=585.04,-6.6,9.107,2.478
6lu7_idAAACgen0_uff_E=585.04,-6.5,22.243,19.404
6lu7_idAAACgen0_uff_E=585.04,-6.3,2.441,0.904
6lu7_idAAACgen0_uff_E=585.04,-6.2,3.363,1.924
6lu7_idAAACgen0_uff_E=585.04,-6.2,6.324,3.225
6lu7_idAAACgen0_uff_E=585.04,-6.1,6.993,2.412
6lu7_idAAADgen0_uff_E=748.87,-5.2,0.0,0.0
6lu7_idAAADgen0_uff_E=748.87,-5.0,6.549,1.907
6lu7_idAAADgen0_uff_E=748.87,-4.9,4.481,2.463
6lu7_idAAADgen0_uff_E=748.87,-4.6,6.98,2.315
6lu7_idAAADgen0_uff_E=748.87,-4.6,6.457,2.315
6lu7_idAAADgen0_uff_E=748.87,-4.6,7.141,3.11
6lu7_idAAADgen0_uff_E=748.87,-4.4,6.058,2.286
